year,year_annotation,race,race_annotation,number,income,percent
1994,11,HISPANIC (ANY RACE),28,7735,200 000 and over,1.8
1993,12,HISPANIC (ANY RACE),28,7362,under 15 000,16.3
1993,12,HISPANIC (ANY RACE),28,7362,15 000 to 24 999,14.8
1993,12,HISPANIC (ANY RACE),28,7362,25 000 to 34 999,13.6
1993,12,HISPANIC (ANY RACE),28,7362,35 000 to 49 999,16.2
1993,12,HISPANIC (ANY RACE),28,7362,50 000 to 74 999,18.2
1993,12,HISPANIC (ANY RACE),28,7362,75 000 to 99 999,9.2
1993,12,HISPANIC (ANY RACE),28,7362,100 000 to 149 999,8.5
1993,12,HISPANIC (ANY RACE),28,7362,150 000 to 199 999,1.9
1993,12,HISPANIC (ANY RACE),28,7362,200 000 and over,1.4
1992,13,HISPANIC (ANY RACE),28,7153,under 15 000,16.6
1992,13,HISPANIC (ANY RACE),28,7153,15 000 to 24 999,14
1992,13,HISPANIC (ANY RACE),28,7153,25 000 to 34 999,13.4
1992,13,HISPANIC (ANY RACE),28,7153,35 000 to 49 999,16.1
1992,13,HISPANIC (ANY RACE),28,7153,50 000 to 74 999,18.4
1992,13,HISPANIC (ANY RACE),28,7153,75 000 to 99 999,10.2
1992,13,HISPANIC (ANY RACE),28,7153,100 000 to 149 999,7.8
1992,13,HISPANIC (ANY RACE),28,7153,150 000 to 199 999,2.4
1992,13,HISPANIC (ANY RACE),28,7153,200 000 and over,1.1
1991,NA,HISPANIC (ANY RACE),28,6379,under 15 000,16
1991,NA,HISPANIC (ANY RACE),28,6379,15 000 to 24 999,13.8
1991,NA,HISPANIC (ANY RACE),28,6379,25 000 to 34 999,12.8
1991,NA,HISPANIC (ANY RACE),28,6379,35 000 to 49 999,16
1991,NA,HISPANIC (ANY RACE),28,6379,50 000 to 74 999,18.7
1991,NA,HISPANIC (ANY RACE),28,6379,75 000 to 99 999,10.6
1991,NA,HISPANIC (ANY RACE),28,6379,100 000 to 149 999,8.3
1991,NA,HISPANIC (ANY RACE),28,6379,150 000 to 199 999,2.2
1991,NA,HISPANIC (ANY RACE),28,6379,200 000 and over,1.5
1990,NA,HISPANIC (ANY RACE),28,6220,under 15 000,15.5
1990,NA,HISPANIC (ANY RACE),28,6220,15 000 to 24 999,15
1990,NA,HISPANIC (ANY RACE),28,6220,25 000 to 34 999,11.8
1990,NA,HISPANIC (ANY RACE),28,6220,35 000 to 49 999,15.8
1990,NA,HISPANIC (ANY RACE),28,6220,50 000 to 74 999,19.5
1990,NA,HISPANIC (ANY RACE),28,6220,75 000 to 99 999,10.6
1990,NA,HISPANIC (ANY RACE),28,6220,100 000 to 149 999,8.1
1990,NA,HISPANIC (ANY RACE),28,6220,150 000 to 199 999,2.1
1990,NA,HISPANIC (ANY RACE),28,6220,200 000 and over,1.5
1989,NA,HISPANIC (ANY RACE),28,5933,under 15 000,15.7
1989,NA,HISPANIC (ANY RACE),28,5933,15 000 to 24 999,12.4
1989,NA,HISPANIC (ANY RACE),28,5933,25 000 to 34 999,12
1989,NA,HISPANIC (ANY RACE),28,5933,35 000 to 49 999,16
1989,NA,HISPANIC (ANY RACE),28,5933,50 000 to 74 999,18.6
1989,NA,HISPANIC (ANY RACE),28,5933,75 000 to 99 999,11.7
1989,NA,HISPANIC (ANY RACE),28,5933,100 000 to 149 999,9.4
1989,NA,HISPANIC (ANY RACE),28,5933,150 000 to 199 999,2.6
1989,NA,HISPANIC (ANY RACE),28,5933,200 000 and over,1.6
1988,NA,HISPANIC (ANY RACE),28,5910,under 15 000,16.5
1988,NA,HISPANIC (ANY RACE),28,5910,15 000 to 24 999,12.4
1988,NA,HISPANIC (ANY RACE),28,5910,25 000 to 34 999,13.4
1988,NA,HISPANIC (ANY RACE),28,5910,35 000 to 49 999,15
1988,NA,HISPANIC (ANY RACE),28,5910,50 000 to 74 999,18.8
1988,NA,HISPANIC (ANY RACE),28,5910,75 000 to 99 999,11.8
1988,NA,HISPANIC (ANY RACE),28,5910,100 000 to 149 999,8.1
1988,NA,HISPANIC (ANY RACE),28,5910,150 000 to 199 999,2.3
1988,NA,HISPANIC (ANY RACE),28,5910,200 000 and over,1.6
1987,14,HISPANIC (ANY RACE),28,5642,under 15 000,16.7
1987,14,HISPANIC (ANY RACE),28,5642,15 000 to 24 999,14
1987,14,HISPANIC (ANY RACE),28,5642,25 000 to 34 999,12.6
1987,14,HISPANIC (ANY RACE),28,5642,35 000 to 49 999,15.9
1987,14,HISPANIC (ANY RACE),28,5642,50 000 to 74 999,17.4
1987,14,HISPANIC (ANY RACE),28,5642,75 000 to 99 999,11.2
1987,14,HISPANIC (ANY RACE),28,5642,100 000 to 149 999,8.3
1987,14,HISPANIC (ANY RACE),28,5642,150 000 to 199 999,2.3
1987,14,HISPANIC (ANY RACE),28,5642,200 000 and over,1.5
1986,NA,HISPANIC (ANY RACE),28,5418,under 15 000,16.4
1986,NA,HISPANIC (ANY RACE),28,5418,15 000 to 24 999,14.3
1986,NA,HISPANIC (ANY RACE),28,5418,25 000 to 34 999,13
1986,NA,HISPANIC (ANY RACE),28,5418,35 000 to 49 999,15.4
1986,NA,HISPANIC (ANY RACE),28,5418,50 000 to 74 999,18.5
1986,NA,HISPANIC (ANY RACE),28,5418,75 000 to 99 999,10.7
1986,NA,HISPANIC (ANY RACE),28,5418,100 000 to 149 999,8.7
1986,NA,HISPANIC (ANY RACE),28,5418,150 000 to 199 999,2.2
1986,NA,HISPANIC (ANY RACE),28,5418,200 000 and over,0.9
1985,15,HISPANIC (ANY RACE),28,5213,under 15 000,17
1985,15,HISPANIC (ANY RACE),28,5213,15 000 to 24 999,15.7
1985,15,HISPANIC (ANY RACE),28,5213,25 000 to 34 999,12.1
1985,15,HISPANIC (ANY RACE),28,5213,35 000 to 49 999,15.8
1985,15,HISPANIC (ANY RACE),28,5213,50 000 to 74 999,18.8
1985,15,HISPANIC (ANY RACE),28,5213,75 000 to 99 999,10.1
1985,15,HISPANIC (ANY RACE),28,5213,100 000 to 149 999,8.1
1985,15,HISPANIC (ANY RACE),28,5213,150 000 to 199 999,1.6
1985,15,HISPANIC (ANY RACE),28,5213,200 000 and over,0.8
1984,16,HISPANIC (ANY RACE),28,4883,under 15 000,17.8
1984,16,HISPANIC (ANY RACE),28,4883,15 000 to 24 999,14.3
1984,16,HISPANIC (ANY RACE),28,4883,25 000 to 34 999,12.3
1984,16,HISPANIC (ANY RACE),28,4883,35 000 to 49 999,15.3
1984,16,HISPANIC (ANY RACE),28,4883,50 000 to 74 999,19.8
1984,16,HISPANIC (ANY RACE),28,4883,75 000 to 99 999,10.7
1984,16,HISPANIC (ANY RACE),28,4883,100 000 to 149 999,7.3
1984,16,HISPANIC (ANY RACE),28,4883,150 000 to 199 999,1.8
1984,16,HISPANIC (ANY RACE),28,4883,200 000 and over,0.8
1983,NA,HISPANIC (ANY RACE),28,4326,under 15 000,18.4
1983,NA,HISPANIC (ANY RACE),28,4326,15 000 to 24 999,14.8
1983,NA,HISPANIC (ANY RACE),28,4326,25 000 to 34 999,12.7
1983,NA,HISPANIC (ANY RACE),28,4326,35 000 to 49 999,16.4
1983,NA,HISPANIC (ANY RACE),28,4326,50 000 to 74 999,19
1983,NA,HISPANIC (ANY RACE),28,4326,75 000 to 99 999,9.5
1983,NA,HISPANIC (ANY RACE),28,4326,100 000 to 149 999,7.2
1983,NA,HISPANIC (ANY RACE),28,4326,150 000 to 199 999,1.4
1983,NA,HISPANIC (ANY RACE),28,4326,200 000 and over,0.5
1982,NA,HISPANIC (ANY RACE),28,4085,under 15 000,17.2
1982,NA,HISPANIC (ANY RACE),28,4085,15 000 to 24 999,15.2
1982,NA,HISPANIC (ANY RACE),28,4085,25 000 to 34 999,13.3
1982,NA,HISPANIC (ANY RACE),28,4085,35 000 to 49 999,16.6
1982,NA,HISPANIC (ANY RACE),28,4085,50 000 to 74 999,18.8
1982,NA,HISPANIC (ANY RACE),28,4085,75 000 to 99 999,9.9
1982,NA,HISPANIC (ANY RACE),28,4085,100 000 to 149 999,6.9
1982,NA,HISPANIC (ANY RACE),28,4085,150 000 to 199 999,1.1
1982,NA,HISPANIC (ANY RACE),28,4085,200 000 and over,0.9
1981,NA,HISPANIC (ANY RACE),28,3980,under 15 000,15.3
1981,NA,HISPANIC (ANY RACE),28,3980,15 000 to 24 999,13.8
1981,NA,HISPANIC (ANY RACE),28,3980,25 000 to 34 999,13.4
1981,NA,HISPANIC (ANY RACE),28,3980,35 000 to 49 999,17.1
1981,NA,HISPANIC (ANY RACE),28,3980,50 000 to 74 999,20.3
1981,NA,HISPANIC (ANY RACE),28,3980,75 000 to 99 999,10.5
1981,NA,HISPANIC (ANY RACE),28,3980,100 000 to 149 999,7.6
1981,NA,HISPANIC (ANY RACE),28,3980,150 000 to 199 999,1.3
1981,NA,HISPANIC (ANY RACE),28,3980,200 000 and over,0.7
1980,NA,HISPANIC (ANY RACE),28,3906,under 15 000,15.9
1980,NA,HISPANIC (ANY RACE),28,3906,15 000 to 24 999,14
1980,NA,HISPANIC (ANY RACE),28,3906,25 000 to 34 999,13.4
1980,NA,HISPANIC (ANY RACE),28,3906,35 000 to 49 999,17
1980,NA,HISPANIC (ANY RACE),28,3906,50 000 to 74 999,19.6
1980,NA,HISPANIC (ANY RACE),28,3906,75 000 to 99 999,11.2
1980,NA,HISPANIC (ANY RACE),28,3906,100 000 to 149 999,6.6
1980,NA,HISPANIC (ANY RACE),28,3906,150 000 to 199 999,1.4
1980,NA,HISPANIC (ANY RACE),28,3906,200 000 and over,0.7
1979,17,HISPANIC (ANY RACE),28,3684,under 15 000,14.4
1979,17,HISPANIC (ANY RACE),28,3684,15 000 to 24 999,12.9
1979,17,HISPANIC (ANY RACE),28,3684,25 000 to 34 999,13.2
1979,17,HISPANIC (ANY RACE),28,3684,35 000 to 49 999,16.8
1979,17,HISPANIC (ANY RACE),28,3684,50 000 to 74 999,21.4
1979,17,HISPANIC (ANY RACE),28,3684,75 000 to 99 999,10.9
1979,17,HISPANIC (ANY RACE),28,3684,100 000 to 149 999,7.8
1979,17,HISPANIC (ANY RACE),28,3684,150 000 to 199 999,1.6
1979,17,HISPANIC (ANY RACE),28,3684,200 000 and over,0.9
1978,NA,HISPANIC (ANY RACE),28,3291,under 15 000,13.9
1978,NA,HISPANIC (ANY RACE),28,3291,15 000 to 24 999,13.3
1978,NA,HISPANIC (ANY RACE),28,3291,25 000 to 34 999,12.9
1978,NA,HISPANIC (ANY RACE),28,3291,35 000 to 49 999,18.6
1978,NA,HISPANIC (ANY RACE),28,3291,50 000 to 74 999,20.7
1978,NA,HISPANIC (ANY RACE),28,3291,75 000 to 99 999,12
1978,NA,HISPANIC (ANY RACE),28,3291,100 000 to 149 999,6.7
1978,NA,HISPANIC (ANY RACE),28,3291,150 000 to 199 999,1.4
1978,NA,HISPANIC (ANY RACE),28,3291,200 000 and over,0.6
1977,NA,HISPANIC (ANY RACE),28,3304,under 15 000,13.7
1977,NA,HISPANIC (ANY RACE),28,3304,15 000 to 24 999,14.8
1977,NA,HISPANIC (ANY RACE),28,3304,25 000 to 34 999,14.1
1977,NA,HISPANIC (ANY RACE),28,3304,35 000 to 49 999,18.2
1977,NA,HISPANIC (ANY RACE),28,3304,50 000 to 74 999,20.8
1977,NA,HISPANIC (ANY RACE),28,3304,75 000 to 99 999,10.6
1977,NA,HISPANIC (ANY RACE),28,3304,100 000 to 149 999,6
1977,NA,HISPANIC (ANY RACE),28,3304,150 000 to 199 999,1.4
1977,NA,HISPANIC (ANY RACE),28,3304,200 000 and over,0.4
1976,18,HISPANIC (ANY RACE),28,3081,under 15 000,16.2
1976,18,HISPANIC (ANY RACE),28,3081,15 000 to 24 999,15.3
1976,18,HISPANIC (ANY RACE),28,3081,25 000 to 34 999,13.6
1976,18,HISPANIC (ANY RACE),28,3081,35 000 to 49 999,18.1
1976,18,HISPANIC (ANY RACE),28,3081,50 000 to 74 999,20
1976,18,HISPANIC (ANY RACE),28,3081,75 000 to 99 999,10.3
1976,18,HISPANIC (ANY RACE),28,3081,100 000 to 149 999,5.1
1976,18,HISPANIC (ANY RACE),28,3081,150 000 to 199 999,1.1
1976,18,HISPANIC (ANY RACE),28,3081,200 000 and over,0.3
1975,19,HISPANIC (ANY RACE),28,2948,under 15 000,16.4
1975,19,HISPANIC (ANY RACE),28,2948,15 000 to 24 999,14.7
1975,19,HISPANIC (ANY RACE),28,2948,25 000 to 34 999,15
1975,19,HISPANIC (ANY RACE),28,2948,35 000 to 49 999,17.5
1975,19,HISPANIC (ANY RACE),28,2948,50 000 to 74 999,21.5
1975,19,HISPANIC (ANY RACE),28,2948,75 000 to 99 999,8.9
1975,19,HISPANIC (ANY RACE),28,2948,100 000 to 149 999,4.7
1975,19,HISPANIC (ANY RACE),28,2948,150 000 to 199 999,0.8
1975,19,HISPANIC (ANY RACE),28,2948,200 000 and over,0.5
